mainstem,head,out,provider
2279965,6082775,6083557,2
2281289,6083497,6083585,2
2279843,6083671,6083795,2
2280456,6084201,6083987,2
2280268,6084189,6084459,2
2280108,6084205,6084035,2
2278242,6088947,6091277,2
2279246,6090151,6089923,2
2278508,6088669,6089079,2
2281281,6088663,6088785,2
2280679,6088709,6088849,2
2280097,6088951,6088881,2
2280673,6089957,6090011,2
2279836,9326340,9327108,2
2280667,9328654,9327892,2
2278440,9326874,9327874,2
2278877,9327370,9331204,2
2278734,9327294,9329400,2
2280670,9327626,9327972,2
2280094,9327538,9327580,2
2279241,9328802,9331136,2
2279476,9330990,9331434,2
2278154,9328788,9331336,2
2279242,9330038,9329718,2
2279478,9328992,9331208,2
2279952,9330976,9331256,2
2278829,10102096,10102922,2
2280242,10102828,10102216,2
2278277,10102762,10103952,2
2281223,10102560,10102838,2
2280908,10102640,10102952,2
2280901,10102904,10102894,2
2280081,10103730,10103920,2
2279188,10102362,10102926,2
2280899,10102856,10102412,2
2280902,10102940,10102292,2
2278731,9330088,9331550,2
2281206,9332240,9332574,2
2279818,9332318,9332540,2
2280413,9332564,9332580,2
2279016,6782039,6782125,2
2279622,6780811,6782063,2
2279810,6780667,6778965,2
2278060,6776973,6778887,2
2279285,166161644,6778147,2
2280061,6778441,6779135,2
2279400,6778625,6782033,2
2278870,6781109,6782099,2
2279019,6782005,6782119,2
2280884,6781023,6781185,2
2279539,6780699,6782023,2
2280405,6778473,6778405,2
2280875,166161642,6778219,2
2278953,6777031,6778031,2
2279922,6778009,6778075,2
2279620,6781927,6782131,2
2278296,9342569,6779113,2
2279131,9343597,9343417,2
2280050,9343243,9343343,2
2280049,9343247,9343747,1
2279132,9343241,9343477,2
2279705,9343621,166174595,2
2278098,10293580,10295266,2
2278920,10294358,10295262,2
2279176,10295298,10295322,2
2279913,10295098,10294712,2
2280837,10294286,10295342,2
2281507,10293572,10294304,2
2281140,10295664,10294478,2
2280582,10295686,10295238,2
2280199,10295704,10295250,2
2281510,10295142,10295228,2
2280380,10295318,10295350,2
2278107,7687159,7704918,2
2278274,7691777,7692139,2
2279083,7690825,7691755,2
2279331,7688653,7691631,2
2279526,7687607,7692373,2
2279525,7691419,7691535,2
2278694,7687597,7691697,2
2280038,7690203,7690563,2
2279450,7687783,7691999,2
2280025,7687661,7691851,2
2279213,7701364,7704890,2
2278889,7701334,7704884,2
2280173,7700172,7700832,2
2280332,7700210,7701080,2
2278914,7700706,7701024,2
2278742,166174670,7700932,2
2279169,7699936,7700918,2
2278862,7701368,7704916,2
2279123,7702312,7701166,2
2279679,7700498,7702618,2
2280781,7700084,7701004,2
2279678,7700290,166174669,2
2279324,7702190,7701256,2
2279442,7698806,7699062,2
2280333,7700196,7701472,2
2279881,7700128,7700166,2
2278111,6094117,6097483,2
2280512,6093451,6096025,2
2279505,6096035,6097255,2
2279003,6098697,6096301,2
2278778,6097279,6097635,2
2279873,6096645,6096485,2
2279875,6097577,6097497,2
2279163,6097179,166174725,2
2280307,6096423,6097637,2
2278131,6106949,6112347,2
2279366,6105409,6109507,2
2280296,6109051,6109095,2
2278859,6107231,6109699,2
2280497,6106999,6107043,2
2279312,6107237,6111165,2
2279430,6111233,6111157,2
2279037,6109463,6109653,2
2279668,6111507,6111197,2
2279368,6111273,6109303,2
2279865,6111513,6109739,2
2290583,5862409,5860787,2
